2018/6/21 3:18 UPDATE

DATE,TIME,é¿ê—(ñúkW)
2018/4/4,4:00,635
2018/4/4,5:00,618
2018/4/4,6:00,610
2018/4/4,7:00,610
2018/4/4,8:00,643
2018/4/4,9:00,660
2018/4/4,10:00,660
2018/4/4,11:00,669
2018/4/4,12:00,640
2018/4/4,13:00,689
2018/4/4,14:00,700
2018/4/4,15:00,691
2018/4/4,16:00,697
2018/4/4,17:00,684
2018/4/4,18:00,691
2018/4/4,19:00,673
2018/4/4,20:00,647
2018/4/4,21:00,622
2018/4/4,22:00,592
2018/4/4,23:00,575
2018/4/5,0:00,556
2018/4/5,1:00,558
2018/4/5,2:00,604
2018/4/5,3:00,648
2018/4/5,4:00,644
2018/4/5,5:00,619
2018/4/5,6:00,617
2018/4/5,7:00,639
2018/4/5,8:00,698
2018/4/5,9:00,723
2018/4/5,10:00,695
2018/4/5,11:00,688
2018/4/5,12:00,635
2018/4/5,13:00,668
2018/4/5,14:00,674
2018/4/5,15:00,682
2018/4/5,16:00,688
2018/4/5,17:00,678
2018/4/5,18:00,695
2018/4/5,19:00,682
2018/4/5,20:00,661
2018/4/5,21:00,631
2018/4/5,22:00,594
2018/4/5,23:00,578
2018/4/6,0:00,560
2018/4/6,1:00,564
2018/4/6,2:00,602
2018/4/6,3:00,636
2018/4/6,4:00,633
2018/4/6,5:00,604
2018/4/6,6:00,601
2018/4/6,7:00,623
2018/4/6,8:00,683
2018/4/6,9:00,721
2018/4/6,10:00,737
2018/4/6,11:00,730
2018/4/6,12:00,674
2018/4/6,13:00,713
2018/4/6,14:00,723
2018/4/6,15:00,718
2018/4/6,16:00,717
2018/4/6,17:00,702
2018/4/6,18:00,704
2018/4/6,19:00,687
2018/4/6,20:00,659
2018/4/6,21:00,630
2018/4/6,22:00,602
2018/4/6,23:00,583
2018/4/7,0:00,581
2018/4/7,1:00,588
2018/4/7,2:00,629
2018/4/7,3:00,663
2018/4/7,4:00,666
2018/4/7,5:00,646
2018/4/7,6:00,629
2018/4/7,7:00,640
2018/4/7,8:00,681
2018/4/7,9:00,693
2018/4/7,10:00,681
2018/4/7,11:00,664
2018/4/7,12:00,644
2018/4/7,13:00,668
2018/4/7,14:00,654
2018/4/7,15:00,667
2018/4/7,16:00,689
2018/4/7,17:00,688
2018/4/7,18:00,725
2018/4/7,19:00,741
2018/4/7,20:00,710
2018/4/7,21:00,690
2018/4/7,22:00,639
2018/4/7,23:00,613
2018/4/8,0:00,608
2018/4/8,1:00,611
2018/4/8,2:00,648
2018/4/8,3:00,680
2018/4/8,4:00,677
2018/4/8,5:00,641
2018/4/8,6:00,626
2018/4/8,7:00,628
2018/4/8,8:00,626
2018/4/8,9:00,619
2018/4/8,10:00,603
2018/4/8,11:00,582
2018/4/8,12:00,560
2018/4/8,13:00,548
2018/4/8,14:00,541
2018/4/8,15:00,546
2018/4/8,16:00,561
2018/4/8,17:00,592
2018/4/8,18:00,658
2018/4/8,19:00,682
2018/4/8,20:00,659
2018/4/8,21:00,642
2018/4/8,22:00,603
2018/4/8,23:00,579
2018/4/9,0:00,571
2018/4/9,1:00,577
2018/4/9,2:00,614
2018/4/9,3:00,651
2018/4/9,4:00,662
2018/4/9,5:00,660
2018/4/9,6:00,672
2018/4/9,7:00,698
2018/4/9,8:00,743
2018/4/9,9:00,773
2018/4/9,10:00,775
2018/4/9,11:00,741
2018/4/9,12:00,688
2018/4/9,13:00,715
2018/4/9,14:00,711
2018/4/9,15:00,711
2018/4/9,16:00,701
2018/4/9,17:00,691
2018/4/9,18:00,721
2018/4/9,19:00,725
2018/4/9,20:00,701
2018/4/9,21:00,680
2018/4/9,22:00,650
2018/4/9,23:00,624
2018/4/10,0:00,618
2018/4/10,1:00,621
2018/4/10,2:00,665
2018/4/10,3:00,700
2018/4/10,4:00,710
2018/4/10,5:00,700
2018/4/10,6:00,715
2018/4/10,7:00,712
2018/4/10,8:00,702
2018/4/10,9:00,707
2018/4/10,10:00,692
2018/4/10,11:00,681
2018/4/10,12:00,636
2018/4/10,13:00,673
2018/4/10,14:00,678
2018/4/10,15:00,676
2018/4/10,16:00,685
2018/4/10,17:00,676
2018/4/10,18:00,692
2018/4/10,19:00,692
2018/4/10,20:00,669
2018/4/10,21:00,653
2018/4/10,22:00,628
2018/4/10,23:00,608
2018/4/11,0:00,598
2018/4/11,1:00,609
2018/4/11,2:00,635
2018/4/11,3:00,674
2018/4/11,4:00,671
2018/4/11,5:00,649
2018/4/11,6:00,648
2018/4/11,7:00,672
2018/4/11,8:00,698
2018/4/11,9:00,737
2018/4/11,10:00,742
2018/4/11,11:00,737
2018/4/11,12:00,673
2018/4/11,13:00,708
2018/4/11,14:00,721
2018/4/11,15:00,711
2018/4/11,16:00,699
2018/4/11,17:00,683
2018/4/11,18:00,708
2018/4/11,19:00,701
2018/4/11,20:00,674
2018/4/11,21:00,644
2018/4/11,22:00,623
2018/4/11,23:00,600
2018/4/12,0:00,587
2018/4/12,1:00,597
2018/4/12,2:00,643
2018/4/12,3:00,679
2018/4/12,4:00,669
2018/4/12,5:00,634
2018/4/12,6:00,635
2018/4/12,7:00,639
2018/4/12,8:00,667
2018/4/12,9:00,681
2018/4/12,10:00,674
2018/4/12,11:00,677
2018/4/12,12:00,639
2018/4/12,13:00,686
2018/4/12,14:00,686
2018/4/12,15:00,680
2018/4/12,16:00,674
2018/4/12,17:00,666
2018/4/12,18:00,698
2018/4/12,19:00,693
2018/4/12,20:00,666
2018/4/12,21:00,636
2018/4/12,22:00,618
2018/4/12,23:00,598
2018/4/13,0:00,587
2018/4/13,1:00,598
2018/4/13,2:00,626
2018/4/13,3:00,671
2018/4/13,4:00,684
2018/4/13,5:00,670
2018/4/13,6:00,662
2018/4/13,7:00,655
2018/4/13,8:00,649
2018/4/13,9:00,671
2018/4/13,10:00,666
2018/4/13,11:00,672
2018/4/13,12:00,625
2018/4/13,13:00,666
2018/4/13,14:00,672
2018/4/13,15:00,672
2018/4/13,16:00,676
2018/4/13,17:00,668
2018/4/13,18:00,678
2018/4/13,19:00,686
2018/4/13,20:00,667
2018/4/13,21:00,650
2018/4/13,22:00,623
2018/4/13,23:00,588
2018/4/14,0:00,579
2018/4/14,1:00,594
2018/4/14,2:00,632
2018/4/14,3:00,662
2018/4/14,4:00,663
2018/4/14,5:00,633
2018/4/14,6:00,602
2018/4/14,7:00,600
2018/4/14,8:00,616
2018/4/14,9:00,635
2018/4/14,10:00,630
2018/4/14,11:00,648
2018/4/14,12:00,634
2018/4/14,13:00,644
2018/4/14,14:00,639
2018/4/14,15:00,637
2018/4/14,16:00,640
2018/4/14,17:00,652
2018/4/14,18:00,666
2018/4/14,19:00,652
2018/4/14,20:00,633
2018/4/14,21:00,607
2018/4/14,22:00,573
2018/4/14,23:00,549
2018/4/15,0:00,535
2018/4/15,1:00,537
2018/4/15,2:00,573
2018/4/15,3:00,614
2018/4/15,4:00,618
2018/4/15,5:00,583
2018/4/15,6:00,561
2018/4/15,7:00,566
2018/4/15,8:00,566
2018/4/15,9:00,565
2018/4/15,10:00,561
2018/4/15,11:00,550
2018/4/15,12:00,545
2018/4/15,13:00,532
2018/4/15,14:00,535
2018/4/15,15:00,537
2018/4/15,16:00,546
2018/4/15,17:00,573
2018/4/15,18:00,624
2018/4/15,19:00,647
2018/4/15,20:00,626
2018/4/15,21:00,606
2018/4/15,22:00,562
2018/4/15,23:00,546
2018/4/16,0:00,529
2018/4/16,1:00,541
2018/4/16,2:00,597
2018/4/16,3:00,636
2018/4/16,4:00,652
2018/4/16,5:00,642
2018/4/16,6:00,643
2018/4/16,7:00,645
2018/4/16,8:00,663
2018/4/16,9:00,676
2018/4/16,10:00,674
2018/4/16,11:00,678
2018/4/16,12:00,643
2018/4/16,13:00,678
2018/4/16,14:00,675
2018/4/16,15:00,678
2018/4/16,16:00,675
2018/4/16,17:00,664
2018/4/16,18:00,699
2018/4/16,19:00,696
2018/4/16,20:00,671
2018/4/16,21:00,645
2018/4/16,22:00,626
2018/4/16,23:00,597
2018/4/17,0:00,586
2018/4/17,1:00,591
2018/4/17,2:00,632
2018/4/17,3:00,677
2018/4/17,4:00,677
2018/4/17,5:00,664
2018/4/17,6:00,662
2018/4/17,7:00,682
2018/4/17,8:00,717
2018/4/17,9:00,741
2018/4/17,10:00,731
2018/4/17,11:00,729
2018/4/17,12:00,687
2018/4/17,13:00,729
2018/4/17,14:00,715
2018/4/17,15:00,698
2018/4/17,16:00,699
2018/4/17,17:00,703
2018/4/17,18:00,718
2018/4/17,19:00,711
2018/4/17,20:00,682
2018/4/17,21:00,656
2018/4/17,22:00,620
2018/4/17,23:00,594
2018/4/18,0:00,580
2018/4/18,1:00,584
2018/4/18,2:00,625
2018/4/18,3:00,672
2018/4/18,4:00,674
2018/4/18,5:00,646
2018/4/18,6:00,641
2018/4/18,7:00,631
2018/4/18,8:00,658
2018/4/18,9:00,672
2018/4/18,10:00,662
2018/4/18,11:00,663
2018/4/18,12:00,621
2018/4/18,13:00,658
2018/4/18,14:00,654
2018/4/18,15:00,657
2018/4/18,16:00,670
2018/4/18,17:00,658
2018/4/18,18:00,663
2018/4/18,19:00,673
2018/4/18,20:00,652
2018/4/18,21:00,633
2018/4/18,22:00,599
2018/4/18,23:00,580
2018/4/19,0:00,564
2018/4/19,1:00,573
2018/4/19,2:00,614
2018/4/19,3:00,661
2018/4/19,4:00,667
2018/4/19,5:00,644
2018/4/19,6:00,631
2018/4/19,7:00,621
2018/4/19,8:00,643
2018/4/19,9:00,661
2018/4/19,10:00,654
2018/4/19,11:00,660
2018/4/19,12:00,622
2018/4/19,13:00,657
2018/4/19,14:00,660
2018/4/19,15:00,664
2018/4/19,16:00,674
2018/4/19,17:00,662
2018/4/19,18:00,674
2018/4/19,19:00,678
2018/4/19,20:00,647
2018/4/19,21:00,621
2018/4/19,22:00,593
2018/4/19,23:00,576
2018/4/20,0:00,561
2018/4/20,1:00,570
2018/4/20,2:00,606
2018/4/20,3:00,646
2018/4/20,4:00,644
2018/4/20,5:00,630
2018/4/20,6:00,624
2018/4/20,7:00,612
2018/4/20,8:00,629
2018/4/20,9:00,650
2018/4/20,10:00,648
2018/4/20,11:00,654
2018/4/20,12:00,617
2018/4/20,13:00,664
2018/4/20,14:00,670
2018/4/20,15:00,666
2018/4/20,16:00,674
2018/4/20,17:00,662
2018/4/20,18:00,663
2018/4/20,19:00,665
2018/4/20,20:00,638
2018/4/20,21:00,624
2018/4/20,22:00,590
2018/4/20,23:00,570
2018/4/21,0:00,560
2018/4/21,1:00,557
2018/4/21,2:00,598
2018/4/21,3:00,639
2018/4/21,4:00,633
2018/4/21,5:00,602
2018/4/21,6:00,569
2018/4/21,7:00,561
2018/4/21,8:00,573
2018/4/21,9:00,583
2018/4/21,10:00,596
2018/4/21,11:00,608
2018/4/21,12:00,595
2018/4/21,13:00,609
2018/4/21,14:00,602
2018/4/21,15:00,609
2018/4/21,16:00,622
2018/4/21,17:00,615
2018/4/21,18:00,625
2018/4/21,19:00,633
2018/4/21,20:00,616
2018/4/21,21:00,583
2018/4/21,22:00,550
2018/4/21,23:00,527
2018/4/22,0:00,514
2018/4/22,1:00,507
2018/4/22,2:00,546
2018/4/22,3:00,593
2018/4/22,4:00,602
2018/4/22,5:00,567
2018/4/22,6:00,533
2018/4/22,7:00,508
2018/4/22,8:00,502
2018/4/22,9:00,512
2018/4/22,10:00,537
2018/4/22,11:00,543
2018/4/22,12:00,541
2018/4/22,13:00,537
2018/4/22,14:00,538
2018/4/22,15:00,540
2018/4/22,16:00,558
2018/4/22,17:00,575
2018/4/22,18:00,592
2018/4/22,19:00,614
2018/4/22,20:00,598
2018/4/22,21:00,575
2018/4/22,22:00,539
2018/4/22,23:00,524
2018/4/23,0:00,519
2018/4/23,1:00,518
2018/4/23,2:00,560
2018/4/23,3:00,597
2018/4/23,4:00,608
2018/4/23,5:00,591
2018/4/23,6:00,575
2018/4/23,7:00,589
2018/4/23,8:00,631
2018/4/23,9:00,668
2018/4/23,10:00,679
2018/4/23,11:00,682
2018/4/23,12:00,640
2018/4/23,13:00,700
2018/4/23,14:00,703
2018/4/23,15:00,690
2018/4/23,16:00,693
2018/4/23,17:00,688
2018/4/23,18:00,692
2018/4/23,19:00,671
2018/4/23,20:00,642
2018/4/23,21:00,612
2018/4/23,22:00,590
2018/4/23,23:00,574
2018/4/24,0:00,556
2018/4/24,1:00,566
2018/4/24,2:00,604
2018/4/24,3:00,639
2018/4/24,4:00,646
2018/4/24,5:00,621
2018/4/24,6:00,615
2018/4/24,7:00,630
2018/4/24,8:00,685
2018/4/24,9:00,728
2018/4/24,10:00,727
2018/4/24,11:00,723
2018/4/24,12:00,672
2018/4/24,13:00,710
2018/4/24,14:00,714
2018/4/24,15:00,705
2018/4/24,16:00,706
2018/4/24,17:00,691
2018/4/24,18:00,698
2018/4/24,19:00,678
2018/4/24,20:00,647
2018/4/24,21:00,621
2018/4/24,22:00,593
2018/4/24,23:00,577
2018/4/25,0:00,562
2018/4/25,1:00,557
2018/4/25,2:00,599
2018/4/25,3:00,644
2018/4/25,4:00,641
2018/4/25,5:00,626
2018/4/25,6:00,615
2018/4/25,7:00,620
2018/4/25,8:00,661
2018/4/25,9:00,683
2018/4/25,10:00,685
2018/4/25,11:00,681
2018/4/25,12:00,633
2018/4/25,13:00,668
2018/4/25,14:00,665
2018/4/25,15:00,658
2018/4/25,16:00,653
2018/4/25,17:00,639
2018/4/25,18:00,660
2018/4/25,19:00,666
2018/4/25,20:00,646
2018/4/25,21:00,616
2018/4/25,22:00,606
2018/4/25,23:00,577
2018/4/26,0:00,561
2018/4/26,1:00,567
2018/4/26,2:00,612
2018/4/26,3:00,654
2018/4/26,4:00,661
2018/4/26,5:00,644
2018/4/26,6:00,624
2018/4/26,7:00,600
2018/4/26,8:00,629
2018/4/26,9:00,640
2018/4/26,10:00,644
2018/4/26,11:00,656
2018/4/26,12:00,610
2018/4/26,13:00,652
2018/4/26,14:00,655
2018/4/26,15:00,655
2018/4/26,16:00,663
2018/4/26,17:00,651
2018/4/26,18:00,667
2018/4/26,19:00,677
2018/4/26,20:00,653
2018/4/26,21:00,618
2018/4/26,22:00,592
2018/4/26,23:00,573
2018/4/27,0:00,564
2018/4/27,1:00,566
2018/4/27,2:00,607
2018/4/27,3:00,646
2018/4/27,4:00,661
2018/4/27,5:00,638
2018/4/27,6:00,627
2018/4/27,7:00,642
2018/4/27,8:00,673
2018/4/27,9:00,676
2018/4/27,10:00,678
2018/4/27,11:00,697
2018/4/27,12:00,639
2018/4/27,13:00,666
2018/4/27,14:00,683
2018/4/27,15:00,675
2018/4/27,16:00,678
2018/4/27,17:00,659
2018/4/27,18:00,665
2018/4/27,19:00,674
2018/4/27,20:00,652
2018/4/27,21:00,623
2018/4/27,22:00,596
2018/4/27,23:00,578
2018/4/28,0:00,551
2018/4/28,1:00,549
2018/4/28,2:00,594
2018/4/28,3:00,640
2018/4/28,4:00,648
2018/4/28,5:00,623
2018/4/28,6:00,603
2018/4/28,7:00,585
2018/4/28,8:00,595
2018/4/28,9:00,598
2018/4/28,10:00,606
2018/4/28,11:00,612
2018/4/28,12:00,594
2018/4/28,13:00,606
2018/4/28,14:00,600
2018/4/28,15:00,595
2018/4/28,16:00,598
2018/4/28,17:00,598
2018/4/28,18:00,614
2018/4/28,19:00,627
2018/4/28,20:00,599
2018/4/28,21:00,574
2018/4/28,22:00,545
2018/4/28,23:00,532
2018/4/29,0:00,518
2018/4/29,1:00,522
2018/4/29,2:00,564
2018/4/29,3:00,606
2018/4/29,4:00,599
2018/4/29,5:00,577
2018/4/29,6:00,534
2018/4/29,7:00,512
2018/4/29,8:00,507
2018/4/29,9:00,510
2018/4/29,10:00,512
2018/4/29,11:00,516
2018/4/29,12:00,526
2018/4/29,13:00,527
2018/4/29,14:00,523
2018/4/29,15:00,524
2018/4/29,16:00,548
2018/4/29,17:00,564
2018/4/29,18:00,575
2018/4/29,19:00,604
2018/4/29,20:00,584
2018/4/29,21:00,553
2018/4/29,22:00,524
2018/4/29,23:00,505
2018/4/30,0:00,498
2018/4/30,1:00,499
2018/4/30,2:00,534
2018/4/30,3:00,578
2018/4/30,4:00,586
2018/4/30,5:00,558
2018/4/30,6:00,531
2018/4/30,7:00,551
2018/4/30,8:00,577
2018/4/30,9:00,578
2018/4/30,10:00,560
2018/4/30,11:00,551
2018/4/30,12:00,536
2018/4/30,13:00,542
2018/4/30,14:00,564
2018/4/30,15:00,564
2018/4/30,16:00,565
2018/4/30,17:00,577
2018/4/30,18:00,591
2018/4/30,19:00,605
2018/4/30,20:00,589
2018/4/30,21:00,565
2018/4/30,22:00,529
2018/4/30,23:00,506
2018/5/1,0:00,501
2018/5/1,1:00,497
2018/5/1,2:00,534
2018/5/1,3:00,584
2018/5/1,4:00,596
2018/5/1,5:00,553
2018/5/1,6:00,538
2018/5/1,7:00,539
2018/5/1,8:00,556
2018/5/1,9:00,582
2018/5/1,10:00,597
2018/5/1,11:00,613
2018/5/1,12:00,592
2018/5/1,13:00,624
2018/5/1,14:00,635
2018/5/1,15:00,640
2018/5/1,16:00,639
2018/5/1,17:00,635
2018/5/1,18:00,635
2018/5/1,19:00,640
2018/5/1,20:00,611
2018/5/1,21:00,575
2018/5/1,22:00,540
2018/5/1,23:00,525
2018/5/2,0:00,497
2018/5/2,1:00,499
2018/5/2,2:00,536
2018/5/2,3:00,582
2018/5/2,4:00,588
2018/5/2,5:00,559
2018/5/2,6:00,557
2018/5/2,7:00,569
2018/5/2,8:00,611
2018/5/2,9:00,641
2018/5/2,10:00,655
2018/5/2,11:00,648
2018/5/2,12:00,618
2018/5/2,13:00,637
2018/5/2,14:00,636
2018/5/2,15:00,633
2018/5/2,16:00,650
2018/5/2,17:00,642
2018/5/2,18:00,636
2018/5/2,19:00,616
2018/5/2,20:00,586
2018/5/2,21:00,553
2018/5/2,22:00,524
2018/5/2,23:00,513
2018/5/3,0:00,489
2018/5/3,1:00,494
2018/5/3,2:00,527
2018/5/3,3:00,564
2018/5/3,4:00,555
2018/5/3,5:00,520
2018/5/3,6:00,490
2018/5/3,7:00,490
2018/5/3,8:00,492
2018/5/3,9:00,503
2018/5/3,10:00,509
2018/5/3,11:00,504
2018/5/3,12:00,490
2018/5/3,13:00,474
2018/5/3,14:00,471
2018/5/3,15:00,467
2018/5/3,16:00,485
2018/5/3,17:00,521
2018/5/3,18:00,532
2018/5/3,19:00,552
2018/5/3,20:00,539
2018/5/3,21:00,527
2018/5/3,22:00,496
2018/5/3,23:00,480
2018/5/4,0:00,471
2018/5/4,1:00,476
2018/5/4,2:00,506
2018/5/4,3:00,555
2018/5/4,4:00,571
2018/5/4,5:00,538
2018/5/4,6:00,502
2018/5/4,7:00,470
2018/5/4,8:00,469
2018/5/4,9:00,479
2018/5/4,10:00,507
2018/5/4,11:00,506
2018/5/4,12:00,481
2018/5/4,13:00,466
2018/5/4,14:00,460
2018/5/4,15:00,466
2018/5/4,16:00,482
2018/5/4,17:00,505
2018/5/4,18:00,531
2018/5/4,19:00,555
2018/5/4,20:00,549
2018/5/4,21:00,526
2018/5/4,22:00,493
2018/5/4,23:00,478
2018/5/5,0:00,464
2018/5/5,1:00,465
2018/5/5,2:00,501
2018/5/5,3:00,549
2018/5/5,4:00,556
2018/5/5,5:00,522
2018/5/5,6:00,487
2018/5/5,7:00,464
2018/5/5,8:00,459
2018/5/5,9:00,466
2018/5/5,10:00,473
2018/5/5,11:00,483
2018/5/5,12:00,487
2018/5/5,13:00,482
2018/5/5,14:00,485
2018/5/5,15:00,486
2018/5/5,16:00,499
2018/5/5,17:00,504
2018/5/5,18:00,533
2018/5/5,19:00,555
2018/5/5,20:00,536
2018/5/5,21:00,507
2018/5/5,22:00,473
2018/5/5,23:00,461
2018/5/6,0:00,446
2018/5/6,1:00,457
2018/5/6,2:00,499
2018/5/6,3:00,536
2018/5/6,4:00,543
2018/5/6,5:00,508
2018/5/6,6:00,474
2018/5/6,7:00,475
2018/5/6,8:00,482
2018/5/6,9:00,506
2018/5/6,10:00,513
2018/5/6,11:00,522
2018/5/6,12:00,534
2018/5/6,13:00,527
2018/5/6,14:00,519
2018/5/6,15:00,515
2018/5/6,16:00,538
2018/5/6,17:00,575
2018/5/6,18:00,586
2018/5/6,19:00,590
2018/5/6,20:00,567
2018/5/6,21:00,541
2018/5/6,22:00,506
2018/5/6,23:00,484
2018/5/7,0:00,474
2018/5/7,1:00,477
2018/5/7,2:00,522
2018/5/7,3:00,556
2018/5/7,4:00,571
2018/5/7,5:00,550
2018/5/7,6:00,547
2018/5/7,7:00,573
2018/5/7,8:00,627
2018/5/7,9:00,677
2018/5/7,10:00,682
2018/5/7,11:00,685
2018/5/7,12:00,636
2018/5/7,13:00,663
2018/5/7,14:00,665
2018/5/7,15:00,661
2018/5/7,16:00,672
2018/5/7,17:00,658
2018/5/7,18:00,660
2018/5/7,19:00,641
2018/5/7,20:00,616
2018/5/7,21:00,591
2018/5/7,22:00,577
2018/5/7,23:00,555
2018/5/8,0:00,535
2018/5/8,1:00,534
2018/5/8,2:00,569
2018/5/8,3:00,616
2018/5/8,4:00,622
2018/5/8,5:00,591
2018/5/8,6:00,578
2018/5/8,7:00,595
2018/5/8,8:00,640
2018/5/8,9:00,674
2018/5/8,10:00,665
2018/5/8,11:00,676
2018/5/8,12:00,645
2018/5/8,13:00,684
2018/5/8,14:00,694
2018/5/8,15:00,696
2018/5/8,16:00,708
2018/5/8,17:00,705
2018/5/8,18:00,706
2018/5/8,19:00,691
2018/5/8,20:00,664
2018/5/8,21:00,635
2018/5/8,22:00,611
2018/5/8,23:00,585
2018/5/9,0:00,535
2018/5/9,1:00,540
2018/5/9,2:00,582
2018/5/9,3:00,628
2018/5/9,4:00,626
2018/5/9,5:00,605
2018/5/9,6:00,591
2018/5/9,7:00,589
2018/5/9,8:00,631
2018/5/9,9:00,664
2018/5/9,10:00,654
2018/5/9,11:00,649
2018/5/9,12:00,614
2018/5/9,13:00,650
2018/5/9,14:00,646
2018/5/9,15:00,641
2018/5/9,16:00,642
2018/5/9,17:00,635
2018/5/9,18:00,650
2018/5/9,19:00,666
2018/5/9,20:00,644
2018/5/9,21:00,610
2018/5/9,22:00,582
2018/5/9,23:00,569
2018/5/10,0:00,542
2018/5/10,1:00,549
2018/5/10,2:00,592
2018/5/10,3:00,635
2018/5/10,4:00,645
2018/5/10,5:00,618
2018/5/10,6:00,609
2018/5/10,7:00,592
2018/5/10,8:00,626
2018/5/10,9:00,642
2018/5/10,10:00,652
2018/5/10,11:00,656
2018/5/10,12:00,612
2018/5/10,13:00,647
2018/5/10,14:00,644
2018/5/10,15:00,642
2018/5/10,16:00,658
2018/5/10,17:00,649
2018/5/10,18:00,650
2018/5/10,19:00,656
2018/5/10,20:00,640
2018/5/10,21:00,616
2018/5/10,22:00,586
2018/5/10,23:00,571
2018/5/11,0:00,546
2018/5/11,1:00,557
2018/5/11,2:00,603
2018/5/11,3:00,638
2018/5/11,4:00,646
2018/5/11,5:00,630
2018/5/11,6:00,613
2018/5/11,7:00,592
2018/5/11,8:00,607
2018/5/11,9:00,631
2018/5/11,10:00,631
2018/5/11,11:00,640
2018/5/11,12:00,600
2018/5/11,13:00,642
2018/5/11,14:00,644
2018/5/11,15:00,644
2018/5/11,16:00,667
2018/5/11,17:00,636
2018/5/11,18:00,645
2018/5/11,19:00,659
2018/5/11,20:00,634
2018/5/11,21:00,621
2018/5/11,22:00,595
2018/5/11,23:00,574
2018/5/12,0:00,545
2018/5/12,1:00,548
2018/5/12,2:00,596
2018/5/12,3:00,634
2018/5/12,4:00,636
2018/5/12,5:00,600
2018/5/12,6:00,566
2018/5/12,7:00,562
2018/5/12,8:00,569
2018/5/12,9:00,598
2018/5/12,10:00,604
2018/5/12,11:00,615
2018/5/12,12:00,596
2018/5/12,13:00,608
2018/5/12,14:00,596
2018/5/12,15:00,599
2018/5/12,16:00,610
2018/5/12,17:00,606
2018/5/12,18:00,616
2018/5/12,19:00,611
2018/5/12,20:00,596
2018/5/12,21:00,577
2018/5/12,22:00,553
2018/5/12,23:00,536
2018/5/13,0:00,517
2018/5/13,1:00,516
2018/5/13,2:00,548
2018/5/13,3:00,585
2018/5/13,4:00,586
2018/5/13,5:00,555
2018/5/13,6:00,520
2018/5/13,7:00,516
2018/5/13,8:00,542
2018/5/13,9:00,572
2018/5/13,10:00,579
2018/5/13,11:00,579
2018/5/13,12:00,572
2018/5/13,13:00,563
2018/5/13,14:00,561
2018/5/13,15:00,560
2018/5/13,16:00,568
2018/5/13,17:00,581
2018/5/13,18:00,595
2018/5/13,19:00,601
2018/5/13,20:00,585
2018/5/13,21:00,566
2018/5/13,22:00,526
2018/5/13,23:00,505
2018/5/14,0:00,500
2018/5/14,1:00,501
2018/5/14,2:00,548
2018/5/14,3:00,586
2018/5/14,4:00,605
2018/5/14,5:00,571
2018/5/14,6:00,553
2018/5/14,7:00,558
2018/5/14,8:00,598
2018/5/14,9:00,633
2018/5/14,10:00,636
2018/5/14,11:00,652
2018/5/14,12:00,618
2018/5/14,13:00,659
2018/5/14,14:00,668
2018/5/14,15:00,672
2018/5/14,16:00,682
2018/5/14,17:00,664
2018/5/14,18:00,661
2018/5/14,19:00,662
2018/5/14,20:00,636
2018/5/14,21:00,627
2018/5/14,22:00,588
2018/5/14,23:00,558
2018/5/15,0:00,551
2018/5/15,1:00,550
2018/5/15,2:00,584
2018/5/15,3:00,630
2018/5/15,4:00,635
2018/5/15,5:00,608
2018/5/15,6:00,585
2018/5/15,7:00,594
2018/5/15,8:00,626
2018/5/15,9:00,649
2018/5/15,10:00,657
2018/5/15,11:00,672
2018/5/15,12:00,635
2018/5/15,13:00,691
